Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2014,CA,PF,CA:7,0,13405,1782,0,0,2,4,245,0,0,337,0,0,3530,0,0,0,1178,2,0,0,5372,33410,510,0,17272,54,920,0,0,7025,0,0,0
2014,CO,PF,CO:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,CO,PF,CO:Brow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ID,PF,ID:1,0,81,429,0,0,297,1940,0,0,0,43,461,0,0,0,0,1,10935,11,0,0,4,37,0,17,0,0,0,0,0,1,0,315,0
2014,ID,PF,ID:2,0,0,0,0,0,1,3709,0,0,0,0,0,0,0,0,0,0,350,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2014,ID,PF,ID:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,MT,PF,MT:1,0,4474,0,0,0,5,4818,15,0,0,0,417,0,37,0,0,0,8824,103,0,0,1,0,257,2,0,0,30,0,161,0,0,0,0
2014,MT,PF,MT:2,0,532,0,0,0,500,84524,0,0,0,0,12380,0,0,0,0,0,16245,2883,0,0,12,0,680,0,0,0,0,0,79,0,0,0,0
2014,NM,PF,NM:1,0,555,170,0,0,0,0,0,0,0,200,130,0,0,0,0,0,14418,341,0,0,168,0,330,410,48,0,195,0,0,0,0,0,0
2014,NV,PF,NV:1,0,92854,426,0,0,341,14469,77,0,0,4899,89,50,4652,0,312,0,10962,356,0,0,138,11505,4655,91,5080,0,176,0,69,56,0,100,0
2014,NV,PF,NV:2,0,125,10,0,0,50,1155,5,0,0,280,100,0,175,0,0,0,2054,85,0,0,120,5,75,165,55,0,90,0,8,0,0,0,0
2014,NV,PF,NV:3,0,7790,155,85,0,345,235,1500,0,0,260,235,0,900,0,14,0,1695,5,0,0,830,915,530,515,2620,0,35,0,56,5,0,0,0
2014,OR,PF,OR:1,0,5645,22076,100,511,691,283563,586,0,0,535,204,7,3035,0,9703,30,49908,710,0,0,203678,2733,46,919,396,510,14376,103,2881,401,0,322,0
2014,OR,PF,OR:2,0,14435,8067,0,0,1228,36387,58,0,0,392,702,10,180,0,15277,0,66786,132,0,0,2814,47,13,1011,55,0,3234,0,32,288,0,0,0
2014,OR,PF,OR:3,0,65,54,0,0,133,4224,0,0,0,134,63,13,102,0,0,0,1525,32,0,0,339,9,0,158,0,0,12,0,370,765,0,0,0
2014,UT,PF,UT:1,0,14,20,0,0,3,7323,1,0,0,86,30033,0,1245,0,0,0,1179,50,0,0,700,12226,0,0,232,0,22,0,2,0,0,0,0
2014,UT,PF,UT:2,0,0,21,0,0,0,577,0,0,0,3,1,0,28,0,0,0,6358,0,0,0,16,0,0,0,8,0,6,0,0,0,0,0,0
2014,UT,PF,UT:3,0,0,404,37,0,0,1008,0,0,0,70,309,0,54,0,0,0,4887,90,0,0,26,5,2,65,0,0,9,0,31,0,0,0,0
2014,WA,PF,WA:1,0,11189,99836,4,17485,26727,19365,417,0,0,1594,8890,24,12170,961,50054,867,138446,8521,0,0,71276,3870,20,5118,1985,758,31080,13287,16328,9146,0,259,0
2014,WA,PF,WA:2,0,32638,12995,0,0,2404,62982,45,0,0,615,1810,0,2026,0,300,0,391225,250,0,0,63,2,1112,209,368,0,10904,0,77,634,50,9537,0
2014,WM,PF,WM:Baja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,WM,PF,WM:WestCoast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,WY,PF,WY:1,0,0,0,0,0,18,200,0,0,0,36,2546,0,4,0,0,0,1784,529,0,0,3,0,0,26,0,0,0,0,1044,3,0,0,0
2013,AK,PF,AK:Izembek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,AZ,PF,AZ:1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,AZ,PF,AZ:2,0,697,228,0,0,,1031,17,0,0,1158,0,0,3706,0,0,0,978,153,0,0,323,3557,28,0,0,29633,0,0,0,0,0,0,0
2013,AZ,PF,AZ:3,0,83,0,0,0,,0,32,0,0,93,134,0,0,0,0,0,1,56,0,0,0,432,17,1,7,0,172,1,3,0,0,0,0
2013,CA,PF,CA:1,0,0,500,0,0,,2000,0,0,0,0,0,0,0,0,0,0,3120,0,0,0,300,0,0,0,0,0,0,0,20,0,0,0,0
2013,CA,PF,CA:2,0,0,0,0,4300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,CA,PF,CA:3,0,243622,254472,1172,0,,4251,24571,0,0,114882,1724,235775,200240,0,646250,0,173649,20,0,0,1070292,368579,3535,8091,10622,6583,7907,0,60083,4025,0,0,0
2013,CA,PF,CA:4,0,85614,66208,33,2688,,29699,25534,0,0,13729,1287,47280,25121,0,25745,0,18560,211,0,0,64886,84236,944,1153,54753,4362,87144,2727,12593,22632,0,0,0
2013,CA,PF,CA:5,0,62027,15894,1420,0,,63718,8921,0,0,31410,0,16210,49249,0,84758,0,6022,625,0,0,37078,133579,163,14175,25822,0,28750,0,3,182728,0,0,0
2013,CA,PF,CA:6,0,0,0,0,460,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,CA,PF,CA:7,0,5969,220,0,0,,3,127,0,0,323,8,0,2010,0,19600,0,766,6,0,0,14624,22683,38,0,12119,500,39,0,0,8563,0,0,0
2013,CO,PF,CO:1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,CO,PF,CO:Brow,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,ID,PF,ID:1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,ID,PF,ID:2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,ID,PF,ID:3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,MT,PF,MT:1,0,6075,0,0,0,,4949,0,0,0,74,528,0,66,0,0,0,13678,90,0,0,52,0,0,19,0,0,0,0,154,0,0,0,0
2013,MT,PF,MT:2,0,0,0,0,0,,75652,0,0,0,0,6744,0,8,0,0,0,13883,382,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0
2013,NM,PF,NM:1,0,10,1465,0,0,,24857,10,0,0,110,342,0,0,0,500,0,22229,840,0,0,10,0,280,50,0,0,0,0,0,0,0,0,0
2013,NV,PF,NV:1,0,10221,441,0,0,,18282,185,0,0,3499,137,35,396,0,12,0,21664,102,0,0,215,7359,1091,230,1326,0,120,0,82,32,0,0,0
2013,NV,PF,NV:2,0,190,215,0,0,,1601,20,0,0,205,50,0,30,0,0,0,1105,25,0,0,145,15,71,145,20,0,360,0,31,30,0,0,0
2013,NV,PF,NV:3,0,4335,1970,50,0,,430,2385,0,0,835,160,0,5535,0,15,0,3575,150,0,0,3300,815,820,490,185,0,190,0,152,0,0,0,0
2013,OR,PF,OR:1,0,3887,12774,3,200,,39703,497,0,0,729,110,458,5884,0,2867,0,28628,963,0,0,51888,2683,112,1292,920,0,11401,208,2533,451,0,0,0
2013,OR,PF,OR:2,0,3165,1272,0,0,,6532,8,0,0,169,623,1,300,0,0,0,9843,2118,0,0,990,2,1,171,12,0,2811,0,3,757,0,0,0
2013,OR,PF,OR:3,0,63,69,0,0,,3781,16,0,0,91,103,1,10,0,0,0,1962,485,0,0,76,3,0,492,12,0,198,0,462,7,0,0,0
2013,UT,PF,UT:1,0,309,23,0,0,,10958,18,0,0,40,79,0,194,0,0,0,3120,203,0,0,597,10,25,100,60,0,80,0,412,0,0,0,0
2013,UT,PF,UT:2,0,238,20,0,0,,340,0,0,0,0,16,0,235,0,0,0,5265,36,0,0,121,0,0,0,0,0,0,0,5,10,0,0,0
2013,UT,PF,UT:3,0,44,423,0,0,,1523,0,0,0,61,427,0,105,0,0,0,1330,12,0,0,66,5,65,296,4,0,4,0,13,43,0,0,0
2013,WA,PF,WA:1,0,21899,90424,3,16454,,23190,923,0,0,1964,8674,47,8334,918,56973,722,78594,7040,0,0,64162,2493,61,3522,1291,1015,22549,13677,14795,7208,0,0,0
2013,WA,PF,WA:2,0,30097,11840,0,0,,19496,605,0,0,2272,4896,0,225,0,0,0,175463,1222,0,0,1862,300,3165,415,453,0,29845,0,283,2765,0,0,0
2013,WM,PF,WM:Baja,0,0,0,0,71607,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,WM,PF,WM:WestCoast,0,0,0,0,23566,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,WY,PF,WY:1,0,0,0,0,0,,29,0,0,0,0,172,0,2,0,0,0,224,82,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0
2012,AK,PF,AK:Izembek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AZ,PF,AZ:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,AZ,PF,AZ:2,0,731,473,0,0,10,352,0,0,0,418,0,0,593,0,0,0,662,40,0,0,0,1078,4,15,0,34459,0,0,0,0,0,0,0
2012,AZ,PF,AZ:3,0,3278,975,0,0,205,2707,51,0,0,81,197,0,793,0,1219,0,3058,292,0,0,751,192,76,22,121,1071,134,0,3,78,0,0,0
2012,CA,PF,CA:1,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,CA,PF,CA:2,0,3320,26200,0,0,450,2680,4200,0,0,0,5,1800,2000,0,0,0,12120,3050,0,0,500,3600,0,0,1620,0,3500,0,815,0,0,0,0
2012,CA,PF,CA:3,0,333421,424144,236,0,1545,2961,925,0,0,82761,462,325149,226097,0,663939,0,144044,14,0,0,1437749,409060,400,29910,3640,8140,235,0,73693,0,0,0,0
2012,CA,PF,CA:4,0,182304,36587,45,560,15987,48706,40124,0,0,8488,1625,87082,12574,0,79185,0,11908,97,0,0,139045,106677,963,60,40543,10650,120342,17978,26885,6043,0,0,0
2012,CA,PF,CA:5,0,345019,7927,3530,0,2153,13424,11376,0,0,23165,255,7329,162395,0,30165,0,10512,210,0,0,50637,182060,337,12540,39033,2216,4200,0,64,0,0,0,0
2012,CA,PF,CA:6,0,0,2711,1,567,618,615,10,0,0,929,1,0,265,0,10,0,237,16,0,0,1605,2550,235,2,935,0,1225,2019,8,6995,0,0,0
2012,CA,PF,CA:7,0,14268,548,240,0,299,3,0,0,0,1099,50,0,3817,0,17412,0,2960,8,0,0,7265,13566,38,0,7038,0,297,0,0,5343,0,0,0
